Month,Year,Month_Number,Month_Name,fuel_CNG ONLY,fuel_DI METHYL ETHER,fuel_DIESEL,fuel_DIESEL/HYBRID,fuel_DUAL DIESEL/BIO CNG,fuel_DUAL DIESEL/CNG,fuel_DUAL DIESEL/LNG,fuel_ELECTRIC BOV,fuel_ETHANOL E,fuel_FUEL CELL HYDROGEN,fuel_LNG,fuel_LPG ONLY,fuel_METHANOL,fuel_NOT APPLICABLE,fuel_PETROL,fuel_PETROL E,fuel_PETROL E /CNG,fuel_PETROL E /HYBRID,fuel_PETROL E /HYBRID/CNG,fuel_PETROL E /LPG,fuel_PETROL/CNG,fuel_PETROL/HYBRID,fuel_PETROL/HYBRID/CNG,fuel_PETROL/LPG,fuel_PETROL/METHANOL,fuel_PLUG IN HYBRID EV,fuel_PURE EV,fuel_SOLAR,fuel_STRONG HYBRID EV,fuel_Total,class_Adapted Vehicle,class_Agricultural Tractor,class_Ambulance,class_Animal Ambulance,class_Armoured/Specialised Vehicle,class_Articulated Vehicle,class_Auxiliary Trailer,class_Breakdown Van,class_Bulldozer,class_Bus,class_Camper Van / Trailer,class_Camper Van / Trailer (Private Use),class_Cash Van,class_Construction Equipment Vehicle,class_Construction Equipment Vehicle (Commercial),class_Crane Mounted Vehicle,class_Dumper,class_Earth Moving Equipment,class_Educational Institution Bus,class_Excavator (Commercial),class_Excavator (NT),class_Fire Fighting Vehicle,class_Fire Tenders,class_Fork Lift,class_Goods Carrier,class_Harvester,class_Hearses,class_Library Van,class_Luxury Cab,class_M-Cycle/Scooter,class_M-Cycle/Scooter-With Side Car,class_Maxi Cab,class_Mobile Canteen,class_Mobile Clinic,class_Mobile Workshop,class_Modular Hydraulic Trailer,class_Moped,class_Motor Cab,class_Motor Car,class_Motor Caravan,class_Motor Cycle/Scooter-SideCar(T),class_Motor Cycle/Scooter-Used For Hire,class_Motor Cycle/Scooter-With Trailer,class_Motorised Cycle (CC 25cc),class_Omni Bus,class_Omni Bus (Private Use),class_Power Tiller,class_Power Tiller (Commercial),class_Private Service Vehicle,class_Private Service Vehicle (Individual Use),class_Puller Tractor,class_Quadricycle (Commercial),class_Quadricycle (Private),class_Recovery Vehicle,class_Road Roller,class_School Bus,class_Semi-Trailer (Commercial),class_Snorked Ladders,class_Three Wheeler (Goods),class_Three Wheeler (Passenger),class_Three Wheeler (Personal),class_Tow Truck,class_Tower Wagon,class_Tractor (Commercial),class_Tractor-Trolley(Commercial),class_Trailer (Agricultural),class_Trailer (Commercial),class_Trailer For Personal Use,class_Tree Trimming Vehicle,class_Vehicle Fitted With Compressor,class_Vehicle Fitted With Generator,class_Vehicle Fitted With Rig,class_Vintage Motor Vehicle,class_X-Ray Van,class_e-Rickshaw with Cart (G),class_e-Rickshaw(P),class_Total,category_FOUR WHEELER (Invalid Carriage),category_HEAVY GOODS VEHICLE,category_HEAVY MOTOR VEHICLE,category_HEAVY PASSENGER VEHICLE,category_LIGHT GOODS VEHICLE,category_LIGHT MOTOR VEHICLE,category_LIGHT PASSENGER VEHICLE,category_MEDIUM GOODS VEHICLE,category_MEDIUM MOTOR VEHICLE,category_MEDIUM PASSENGER VEHICLE,category_OTHER THAN MENTIONED ABOVE,category_THREE WHEELER (Invalid Carriage),category_THREE WHEELER(NT),category_THREE WHEELER(T),category_TWO WHEELER (Invalid Carriage),category_TWO WHEELER(NT),category_TWO WHEELER(T),category_Total
2005-01,2005,1,January,244,0,82367,3,0,0,1,61,0,0,0,210,2,3979,366353,0,0,0,0,0,6012,1,0,5421,0,0,0,4,0,464658,26,11285,293,0,0,433,0,3,0,2357,3,11,2,97,0,185,64,148,284,60,157,8,7,14,29045,146,8,1,116,309557,148,1355,4,7,1,0,5507,2505,78296,0,12,64,0,318,455,2340,7,22,67,635,0,0,0,17,33,0,0,0,4697,7876,642,11,1,1320,91,2765,961,15,1,54,65,54,0,0,1,2,464659,8,15493,112,1529,14245,93932,5407,3079,213,368,1498,0,1556,11615,10,315515,76,464656
2005-02,2005,2,February,337,0,81672,6,0,0,0,69,0,0,0,175,0,4838,367990,1,0,0,0,0,6233,1,0,5028,0,0,0,15,0,466365,30,11849,320,0,0,532,0,0,2,2361,22,15,5,111,5,185,64,173,261,79,146,11,1,26,27140,148,5,0,162,317175,134,1341,2,4,3,0,5624,3091,70961,0,8,63,0,320,422,2257,10,18,100,351,0,0,0,21,33,0,0,0,5040,9335,654,9,1,1437,92,2873,1091,39,6,55,71,69,0,1,0,2,466366,6,14280,154,1564,14232,86982,6293,2536,215,374,1453,0,1861,13102,11,323231,71,466365
2005-03,2005,3,March,494,0,94833,4,0,0,0,81,0,0,0,217,0,6645,388610,1,0,0,0,0,7059,0,0,5554,0,0,0,3,0,503501,30,14622,365,2,0,542,1,4,0,3087,8,32,5,170,1,251,93,230,496,93,226,21,3,25,31361,190,12,3,138,329790,164,1630,2,4,3,0,6002,3621,83106,0,8,90,0,269,451,2378,15,27,102,415,0,0,0,16,42,1,0,0,5898,9579,726,11,7,1800,90,3679,1331,38,6,75,63,48,0,0,0,3,503501,9,15930,169,2100,17204,102636,7321,2974,277,519,2048,0,1821,14326,13,336056,98,503501
2005-04,2005,4,April,487,0,77152,6,0,0,0,84,0,0,0,198,0,5109,347410,1,0,0,0,0,5707,0,0,4987,0,0,0,4,0,441145,26,10745,191,2,0,437,2,7,0,2824,11,8,6,138,0,195,70,177,433,68,159,7,11,27,26145,102,11,0,196,295095,157,1411,0,6,5,0,5177,2922,73229,0,8,86,0,271,415,1951,12,36,113,516,0,0,0,23,35,0,0,0,3924,7680,711,12,2,1282,54,2901,928,37,3,48,48,45,0,1,0,3,441145,5,14270,145,1810,12796,88157,6077,2702,260,579,1285,0,1520,10759,13,300673,94,441145
2005-05,2005,5,May,400,0,77341,2,0,0,0,93,0,0,0,120,0,5069,393066,0,0,0,0,0,6095,0,0,4822,0,0,1,3,0,487012,32,11362,169,1,0,521,1,3,1,2923,8,11,7,168,3,198,51,223,620,71,196,15,2,23,21925,98,8,2,121,338768,562,1397,2,7,4,0,6204,2473,75889,0,40,58,0,246,490,2239,9,44,105,589,0,0,0,16,47,0,0,0,4561,8399,775,11,1,1336,64,2773,972,34,4,58,38,31,0,1,0,3,487013,4,11313,143,1772,12203,91644,5819,2055,235,567,1766,0,2056,11639,13,345683,98,487010
2005-06,2005,6,June,570,0,77598,4,0,0,0,114,0,0,0,138,0,4397,386143,1,0,0,0,0,5811,1,0,4660,0,0,0,2,0,479439,23,11834,175,0,0,380,0,5,0,2637,6,7,1,123,2,230,56,180,916,100,200,13,9,26,21698,69,11,2,165,332981,153,1485,2,8,4,0,6884,2819,72740,0,20,29,1,272,476,2184,7,34,116,571,0,0,0,13,28,1,0,0,4460,9326,769,14,0,1382,59,2631,938,27,2,59,37,36,0,0,0,4,479440,4,10720,164,1618,12900,88707,6316,1830,193,570,1587,0,2345,12164,9,340262,50,479439
2005-07,2005,7,July,553,0,76880,8,0,0,0,114,0,0,0,171,0,4556,348176,1,0,0,0,0,6426,0,0,4616,0,0,0,2,0,441503,28,12033,166,1,0,384,0,3,0,2645,4,21,6,148,2,241,45,212,807,63,141,7,0,37,22405,53,6,1,180,292971,109,1302,3,8,3,0,6604,2814,74646,0,1,41,0,179,465,2080,4,34,136,538,0,0,0,12,35,0,0,0,4229,9451,693,7,0,1541,72,2844,905,24,6,53,34,20,0,0,1,2,441506,4,10914,137,1687,13403,91003,6080,1894,229,554,1355,0,2180,12152,15,299852,42,441501
2005-08,2005,8,August,455,0,76344,9,0,0,0,134,1,0,0,176,1,4687,362030,2,0,0,0,0,7010,0,0,5010,0,0,0,5,0,455864,20,11195,185,2,0,300,1,4,0,2707,7,13,3,118,10,262,65,180,575,75,177,2,1,35,23408,83,2,0,154,305645,136,1315,0,9,2,0,6570,2831,75500,0,4,55,0,231,454,1832,12,9,88,455,0,0,0,10,49,0,0,0,4580,10492,814,7,0,1440,68,2556,970,26,4,57,35,23,0,0,0,3,455866,6,10887,182,1665,14056,90425,5904,2131,235,546,1364,0,2289,13555,7,312553,60,455865
2005-09,2005,9,September,571,0,84220,15,0,0,0,110,2,0,0,216,0,5326,368960,1,0,0,0,0,6632,0,0,4817,0,0,0,5,0,470875,85,12574,188,1,0,374,0,5,1,2861,10,16,3,143,2,237,98,192,633,63,162,9,3,26,27459,125,12,0,140,310915,194,1597,6,4,2,0,6059,3058,78276,0,49,132,1,215,531,1718,5,10,123,447,0,0,0,16,44,0,0,0,4731,10579,751,11,0,1364,90,3342,986,34,4,54,66,37,0,0,0,2,470875,7,12518,192,1816,15936,95283,6411,2694,276,663,1430,0,2183,13848,71,317365,182,470875
2005-10,2005,10,October,584,0,86831,3,0,0,0,111,0,0,0,237,0,5131,434005,0,0,0,0,0,9279,1,0,5326,0,0,0,4,0,541512,29,11564,177,0,0,357,0,3,2,3015,3,30,11,162,1,248,75,217,464,94,153,4,2,38,28888,74,3,1,122,370943,111,1559,4,9,2,0,6012,3216,87628,0,24,184,0,335,499,1796,7,8,79,481,0,0,0,25,38,2,0,0,5441,10343,815,15,0,1437,84,3390,1083,72,10,35,51,50,0,0,1,3,541529,6,13668,215,2052,16048,103857,6269,3115,281,560,1276,0,2049,14514,10,377379,208,541507
